Country,Number of partners,Total number of partnerships,Mediation centrality
Argentina,22,47,0.29350791807237797
Cambodia,18,22,0.27481333997013446
Brazil,18,32,0.15944591928912488
Vietnam,15,17,0.09387294213078187
Ethiopia,13,21,0.07005973120955698
Mexico,12,20,0.01994174363512343
Colombia,12,33,0.017594436148443113
Tanzania,12,16,0.05130846376490975
Laos,11,14,0.035958095975517565
Switzerland,11,15,0.040090887303430855
Spain,9,16,0.0051089541507659975
Cameroon,8,8,0.0
Guatemala,8,13,0.0009770846007779806
Chile,8,13,0.0009770846007779806
Australia,8,8,0.0
Bangladesh,8,10,0.029048448647751773
Germany,8,8,0.026503880685065352
Uganda,7,12,0.014503253876076176
Kenya,7,16,0.03049379643456298
Senegal,7,7,0.0
Venezuela,7,7,0.0
Peru,7,7,0.0
Haiti,7,7,0.0
United States,7,10,0.019145327507696843
Ghana,7,7,0.0
Rwanda,7,7,0.0
Sudan,6,11,0.029155374887082208
El Salvador,5,5,0.0
Nepal,5,5,0.10800149328023897
Canada,5,8,0.0
Côte d'Ivoire,5,7,0.006044097855944546
Bolivia,5,9,0.0
Philippines,4,4,0.0018887229688623417
United Kingdom,4,5,0.0019887358737532956
Honduras,4,4,0.0
Belgium,4,4,0.0
DR Congo,3,3,0.0
Mauritania,3,3,0.0
Thailand,2,4,0.0
India,2,4,0.0017421602787456446
Burkina Faso,2,2,0.047619047619047616
Mozambique,2,2,0.0
Madagascar,1,1,0.0
