drug,Count
Benznidazole,21
Placebo,10
E1224,6
Nifurtimox,5
E1224 Placebo,4
Benznidazole Placebo,4
"Nifurtimox (Lampit, BAYA2502)",3
Placebo Oral Tablet,3
Posaconazole,2
Fexinidazole,2
Short regimen of benznidazole,1
Atorvastatin 80,1
"1. Benznidazole: maximum tolerated daily dose is 10 mg/kg2. Nifurtimox: maximum tolerated dose of 10 mg/kg3. Posaconazole: maximum tolerated dose of 15 mg/kg Sub-curative dosing: first 6 individuals:The starting sub-curative regimens for the first 6 enrolled individuals who complete stage 2 of the study will be:1. A single dose of benznidazole 100 mg2. A single dose of nifurtimox 120 mg3. A single dose of posaconazole 600 mg (a higher dose of posaconazole is necessary as it has weak anti-parasitic action, acting only on the tissue-stages). Sub-curative dosing: subsequent individuals:Subsequent individuals will be dosed according to a model-based approach that will use all previously accrued data",1
Nifurtimox (BAYA2502),1
Colchicine 0.5 MG twice day for one year,1
"Lampit (Nifurtimox, BAYA2502)",1
Sacubitril/valsartan,1
Enalapril,1
Standard treatment with benznidazole,1
40 mg Atorvastatin/day for 120 days P.O.,1
Nifurtimox (BAYa2502) (4 x 30 mg tablet),1
Nifurtimox (BAYa2502),1
Nifurtimox (BAYa2502) (slurry of 4 x 30 mg tablets in tap water),1
Nifurtimox (BAYa2502) (120 mg tablet),1
"Benznidazole 12,5mg or 100mg",1
Aspirin,1
RASi plus carvedilol,1
Placebo for posaconazole,1
Selenium,1
Placebo (for Selenium),1
